Character,Dialogue,Context,fr,it,de,es,ru,ptbr,zht,zhs,JP,ko,tr,
,Sleep,,Dormir,Dormi,Schlafen,Dormir,Спать,Dormir,睡覺,Uyumak,眠る,잠자기,Uyumak,
,Nevermind,,J'ai changé d'avis,Non importa,Schon gut,Da igual,Не нужно,Deixa pra lá,算了,Bos ver,やめておく,됐어,Bos ver,
,Stay up,,Rester debout,Non dormire,Aufbleiben,Quedarse en pie,Остаться бодрствовать,Fique acordada,保持清醒,Uyanik kal,まだ寝ない,깨어 있기,Uyanik kal,
,Read,,Lire,Leggi,Lesen,Leer,Читать,Ler,閱讀,Oku,読む,읽기,Oku,
,Talk,,Parler,Parla,Reden,Hablar,Говорить,Falar,對話,Konus,話す,말 걸기,Konus,
,Flush,,Tirer la chasse d'eau,Scarica,Spülen,Tirar de la cisterna,Слив,Dar descarga,沖水,Sifonu cek,流す,물 내리기,Sifonu cek,
,Call,,Appeler,Chiama,Anrufen,Llamar,Позвонить,Ligar,呼叫,Ara,電話をかける,전화,Ara,
,Dog,,Chien,Cane,Hund,Perro,Собака,Cachorro,狗,Kopek,犬,개,Kopek,
,Gun,,Pistolet,Pistola,Waffe,Pistola,Пистолет,Arma,手槍,Silah,銃,총,Silah,
,Anchor,,Ancre,Ancora,Anker,Ancla,Якорь,Âncora,錨,Capa,アンカー,닻,Capa,
,Button,,Bouton,Pulsante,Taste,Botón,Кнопка,Botão,按鈕,Dugme,ボタン,버튼,Dugme,
,Open,,Ouvrir,Apri,Öffnen,Abrir,Открыть,Abrir,打開,Ac,開ける,열기,Ac,
,Run,,Courir,Corri,Laufen,Correr,Бежать,Correr,跑步,Kos,走る,달리기,Kos,
,Yes,,Oui,Sì,Ja,Sí,Да,Sim,是的,Evet,はい,네,Evet,
,Horse,,Cheval,Cavallo,Pferd,Caballo,Лошадь,Cavalo,馬,At,馬,말,At,
,Gamer,,Gameuse,Giocatrice,Gamer,Gamer,Геймер,Gamer,遊戲玩家,Oyuncu,ゲーマー,게이머,Oyuncu,
,House,,Maison,Casa,Haus,Casa,Дом,Casa,房子,Ev,家,집,Ev,
,Pizza,,Pizza,Pizza,Pizza,Pizza,Пицца,Pizza,披薩,Pizza,ピザ,피자,Pizza,
,"Oh, my. Did I just eat an entire pizza by myself? The gluttony!",,Houlà. J'ai mangé une pizza entière toute seule ? Quelle gourmandise !,"Oh, cielo. Ho davvero mangiato tutta quella pizza da sola? Che ingorda!",Oje. Habe ich gerade eine ganze Pizza allein gegessen? Diese Völlerei!,Madre mía. ¿Me acabo de comer una pizza entera yo solita? ¡Vaya gula!,"Ах, ну и дела! Неужели я одна съела целую пиццу? Вот обжора!",Nossa! Então eu comi uma pizza inteira sozinha? Que gulosa!,天啊，剛剛我是不是自己吃了一整個披薩？那也太貪吃了吧！,Aman Tanrim. Pizzanin hepsini tek basima mi yedim? Ne oburluk ama!,あら、たいへん。私ったら、ひとりでピザを平らげちゃった？なんて大食らいでしょう！,"오, 세상에! 방금 내가 피자 한 판을 다 먹은 거야? 돼지도 아니고!",Aman Tanrim. Pizzanin hepsini tek basima mi yedim? Ne oburluk ama!,
